Suite,Mode,Instruction File,PC,Unique Instruction
rv64mi,p,access,0x8000017a,"lb	t2,0(t0)"
rv64mi,p,access,0x8000017e,j	80000186 <fail>
rv64mi,p,breakpoint,0x80000156,"csrs	tcontrol,a1"
rv64mi,p,breakpoint,0x80000164,"csrw	tselect,zero"
rv64mi,p,csr,0x800002a8,"fsw	ft0,0(a1)"
rv64mi,p,csr,0x800002f0,"csrrw	a0,cycle,zero"
rv64mi,p,csr,0x80000302,"csrr	a0,mstatus"
rv64mi,p,illegal,0x8000019c,j	8000019c <test_vectored_interrupts+0x24>
rv64mi,p,illegal,0x8000020c,sfence.vma
rv64mi,p,illegal,0x80000214,"csrr	t0,satp"
rv64mi,p,illegal,0x80000250,sret
rv64mi,p,ld-misaligned,0x80000250,"ld	a4,4(sp)"
rv64mi,p,ma_addr,0x80000168,"lh	t1,1(s0)"
rv64mi,p,ma_addr,0x8000016c,"lui	t2,0xffffc"
rv64mi,p,ma_addr,0x80000170,"addw	t2,t2,-1076 # ffffffffffffbbcc <_end+0xffffffff7fff9abc>"
rv64mi,p,ma_addr,0x80000188,"lhu	t1,1(s0)"
rv64mi,p,ma_addr,0x8000018c,"lui	t2,0xc"
rv64mi,p,ma_addr,0x80000190,"addw	t2,t2,-1076 # bbcc <_start-0x7fff4434>"
rv64mi,p,ma_addr,0x800001a8,"lw	t1,1(s0)"
rv64mi,p,ma_addr,0x800001ac,"lui	t2,0x99aac"
rv64mi,p,ma_addr,0x800001b0,"addw	t2,t2,-1076 # ffffffff99aabbcc <_end+0xffffffff19aa9abc>"
rv64mi,p,ma_addr,0x800001c8,"lw	t1,2(s0)"
rv64mi,p,ma_addr,0x800001cc,"lui	t2,0x8899b"
rv64mi,p,ma_addr,0x800001d0,"addw	t2,t2,-1349 # ffffffff8899aabb <_end+0xffffffff089989ab>"
rv64mi,p,ma_addr,0x800001e8,"lw	t1,3(s0)"
rv64mi,p,ma_addr,0x80000208,"lwu	t1,1(s0)"
rv64mi,p,ma_addr,0x8000020c,"lui	t2,0x26"
rv64mi,p,ma_addr,0x80000210,"addw	t2,t2,1707 # 266ab <_start-0x7ffd9955>"
rv64mi,p,ma_addr,0x80000230,"lwu	t1,2(s0)"
rv64mi,p,ma_addr,0x80000234,"lui	t2,0x89"
rv64mi,p,ma_addr,0x80000238,"addw	t2,t2,-1637 # 8899b <_start-0x7ff77665>"
rv64mi,p,ma_addr,0x80000258,"lwu	t1,3(s0)"
rv64mi,p,ma_addr,0x80000278,"ld	t1,1(s0)"
rv64mi,p,ma_addr,0x8000027c,"lui	t2,0xaad"
rv64mi,p,ma_addr,0x800002b0,"ld	t1,2(s0)"
rv64mi,p,ma_addr,0x800002b4,"lui	t2,0x4455"
rv64mi,p,ma_addr,0x800002b8,"addw	t2,t2,1639 # 4455667 <_start-0x7bbaa999>"
rv64mi,p,ma_addr,0x800002e8,"ld	t1,3(s0)"
rv64mi,p,ma_addr,0x800002ec,"lui	t2,0x669"
rv64mi,p,ma_addr,0x800002f0,"addw	t2,t2,-1877 # 6688ab <_start-0x7f997755>"
rv64mi,p,ma_addr,0x80000320,"ld	t1,4(s0)"
rv64mi,p,ma_addr,0x80000324,"lui	t2,0x111a"
rv64mi,p,ma_addr,0x80000328,"addw	t2,t2,-1501 # 1119a23 <_start-0x7eee65dd>"
rv64mi,p,ma_addr,0x80000358,"ld	t1,5(s0)"
rv64mi,p,ma_addr,0x8000035c,"lui	t2,0x449"
rv64mi,p,ma_addr,0x80000360,"addw	t2,t2,-1843 # 4488cd <_start-0x7fbb7733>"
rv64mi,p,ma_addr,0x80000390,"ld	t1,6(s0)"
rv64mi,p,ma_addr,0x80000394,"lui	t2,0xffb84"
rv64mi,p,ma_addr,0x80000398,"addw	t2,t2,1161 # ffffffffffb84489 <_end+0xffffffff7fb82379>"
rv64mi,p,ma_addr,0x800003c8,"ld	t1,7(s0)"
rv64mi,p,ma_addr,0x800003cc,"lui	t2,0xee112"
rv64mi,p,ma_addr,0x800003d0,"addw	t2,t2,563 # ffffffffee112233 <_end+0xffffffff6e110123>"
rv64mi,p,ma_addr,0x80000400,"sh	zero,1(s0)"
rv64mi,p,ma_addr,0x80000404,"lb	t1,0(s0)"
rv64mi,p,ma_addr,0x80000434,"sw	zero,5(s0)"
rv64mi,p,ma_addr,0x80000438,"lb	t1,4(s0)"
rv64mi,p,ma_addr,0x80000468,"sw	zero,10(s0)"
rv64mi,p,ma_addr,0x8000046c,"lb	t1,9(s0)"
rv64mi,p,ma_addr,0x8000049c,"sw	zero,15(s0)"
rv64mi,p,ma_addr,0x800004a0,"lb	t1,14(s0)"
rv64mi,p,ma_addr,0x800004d0,"sd	zero,25(s0)"
rv64mi,p,ma_addr,0x800004d4,"lb	t1,24(s0)"
