Category,Suite,Test,Instruction,PCs,OccurrenceCount,SuitesInvolved,TestsInvolved,SuiteTestPairs,MissingDetails
Common across all tests in suite,rv64ua,ALL,"csrw	0x744,8",0x8000008c;0x800000b6,2,rv64ua,ALL,rv64ua:_unknown_riscv_test;rv64ua:amoadd_d;rv64ua:amoadd_w;rv64ua:amoand_d;rv64ua:amoand_w;rv64ua:amomax_d;rv64ua:amomax_w;rv64ua:amomaxu_d;rv64ua:amomaxu_w;rv64ua:amomin_d;rv64ua:amomin_w;rv64ua:amominu_d;rv64ua:amominu_w;rv64ua:amoor_d;rv64ua:amoor_w;rv64ua:amoswap_d;rv64ua:amoswap_w;rv64ua:amoxor_d;rv64ua:amoxor_w;rv64ua:lrsc,rv64ua:amoadd_d:p@0x800000b6; rv64ua:_unknown_riscv_test:p@0x800000b6; rv64ua:_unknown_riscv_test:v@0x8000008c; rv64ua:amomaxu_w:p@0x800000b6; rv64ua:amoand_d:p@0x800000b6; rv64ua:amoswap_w:p@0x800000b6; rv64ua:amomaxu_d:p@0x800000b6; rv64ua:amoor_d:p@0x800000b6; rv64ua:amoxor_d:p@0x800000b6; rv64ua:amoor_w:p@0x800000b6; rv64ua:amomax_d:p@0x800000b6; rv64ua:amoswap_d:p@0x800000b6; rv64ua:amominu_d:p@0x800000b6; rv64ua:amomin_w:p@0x800000b6; rv64ua:lrsc:p@0x800000b6; rv64ua:amoand_w:p@0x800000b6; rv64ua:amoxor_w:p@0x800000b6; rv64ua:amomax_w:p@0x800000b6; rv64ua:amominu_w:p@0x800000b6; rv64ua:amoadd_w:p@0x800000b6; rv64ua:amomin_d:p@0x800000b6
Common across all tests in suite,rv64uc,ALL,"csrrw	sp,sscratch,sp",0x80000138,1,rv64uc,ALL,rv64uc:_unknown_riscv_test;rv64uc:rvc,rv64uc:rvc:v@0x80000138; rv64uc:_unknown_riscv_test:v@0x80000138
Common across all tests in suite,rv64uc,ALL,"csrw	0x744,8",0x8000008c;0x800000b6,2,rv64uc,ALL,rv64uc:_unknown_riscv_test;rv64uc:rvc,rv64uc:rvc:p@0x800000b6; rv64uc:rvc:v@0x8000008c; rv64uc:_unknown_riscv_test:p@0x800000b6; rv64uc:_unknown_riscv_test:v@0x8000008c
Common across all tests in suite,rv64ud,ALL,"csrrw	sp,sscratch,sp",0x80000138,1,rv64ud,ALL,rv64ud:_unknown_riscv_test;rv64ud:fadd;rv64ud:fclass;rv64ud:fcmp;rv64ud:fcvt;rv64ud:fcvt_w;rv64ud:fdiv;rv64ud:fmadd;rv64ud:fmin;rv64ud:ldst;rv64ud:move;rv64ud:recoding;rv64ud:structural,rv64ud:fmin:v@0x80000138; rv64ud:_unknown_riscv_test:v@0x80000138; rv64ud:fcmp:v@0x80000138; rv64ud:fclass:v@0x80000138; rv64ud:fadd:v@0x80000138; rv64ud:fmadd:v@0x80000138; rv64ud:ldst:v@0x80000138; rv64ud:structural:v@0x80000138; rv64ud:fcvt:v@0x80000138; rv64ud:move:v@0x80000138; rv64ud:fdiv:v@0x80000138; rv64ud:recoding:v@0x80000138; rv64ud:fcvt_w:v@0x80000138
Common across all tests in suite,rv64ud,ALL,"csrw	0x744,8",0x8000008c;0x800000b6,2,rv64ud,ALL,rv64ud:_unknown_riscv_test;rv64ud:fadd;rv64ud:fclass;rv64ud:fcmp;rv64ud:fcvt;rv64ud:fcvt_w;rv64ud:fdiv;rv64ud:fmadd;rv64ud:fmin;rv64ud:ldst;rv64ud:move;rv64ud:recoding;rv64ud:structural,rv64ud:fmin:p@0x800000b6; rv64ud:fmin:v@0x8000008c; rv64ud:_unknown_riscv_test:p@0x800000b6; rv64ud:_unknown_riscv_test:v@0x8000008c; rv64ud:fcmp:p@0x800000b6; rv64ud:fcmp:v@0x8000008c; rv64ud:fclass:p@0x800000b6; rv64ud:fclass:v@0x8000008c; rv64ud:fadd:p@0x800000b6; rv64ud:fadd:v@0x8000008c; rv64ud:fmadd:p@0x800000b6; rv64ud:fmadd:v@0x8000008c; rv64ud:ldst:p@0x800000b6; rv64ud:ldst:v@0x8000008c; rv64ud:structural:p@0x800000b6; rv64ud:structural:v@0x8000008c; rv64ud:fcvt:p@0x800000b6; rv64ud:fcvt:v@0x8000008c; rv64ud:move:p@0x800000b6; rv64ud:move:v@0x8000008c; rv64ud:fdiv:p@0x800000b6; rv64ud:fdiv:v@0x8000008c; rv64ud:recoding:p@0x800000b6; rv64ud:recoding:v@0x8000008c; rv64ud:fcvt_w:p@0x800000b6; rv64ud:fcvt_w:v@0x8000008c
Common across all tests in suite,rv64uf,ALL,"csrrw	sp,sscratch,sp",0x80000138,1,rv64uf,ALL,rv64uf:_unknown_riscv_test;rv64uf:fadd;rv64uf:fclass;rv64uf:fcmp;rv64uf:fcvt;rv64uf:fcvt_w;rv64uf:fdiv;rv64uf:fmadd;rv64uf:fmin;rv64uf:ldst;rv64uf:move;rv64uf:recoding,rv64uf:fmin:v@0x80000138; rv64uf:_unknown_riscv_test:v@0x80000138; rv64uf:fcmp:v@0x80000138; rv64uf:fclass:v@0x80000138; rv64uf:fadd:v@0x80000138; rv64uf:fmadd:v@0x80000138; rv64uf:ldst:v@0x80000138; rv64uf:fcvt:v@0x80000138; rv64uf:move:v@0x80000138; rv64uf:fdiv:v@0x80000138; rv64uf:recoding:v@0x80000138; rv64uf:fcvt_w:v@0x80000138
Common across all tests in suite,rv64uf,ALL,"csrw	0x744,8",0x8000008c;0x800000b6,2,rv64uf,ALL,rv64uf:_unknown_riscv_test;rv64uf:fadd;rv64uf:fclass;rv64uf:fcmp;rv64uf:fcvt;rv64uf:fcvt_w;rv64uf:fdiv;rv64uf:fmadd;rv64uf:fmin;rv64uf:ldst;rv64uf:move;rv64uf:recoding,rv64uf:fmin:p@0x800000b6; rv64uf:fmin:v@0x8000008c; rv64uf:_unknown_riscv_test:p@0x800000b6; rv64uf:_unknown_riscv_test:v@0x8000008c; rv64uf:fcmp:p@0x800000b6; rv64uf:fcmp:v@0x8000008c; rv64uf:fclass:p@0x800000b6; rv64uf:fclass:v@0x8000008c; rv64uf:fadd:p@0x800000b6; rv64uf:fadd:v@0x8000008c; rv64uf:fmadd:p@0x800000b6; rv64uf:fmadd:v@0x8000008c; rv64uf:ldst:p@0x800000b6; rv64uf:ldst:v@0x8000008c; rv64uf:fcvt:p@0x800000b6; rv64uf:fcvt:v@0x8000008c; rv64uf:move:p@0x800000b6; rv64uf:move:v@0x8000008c; rv64uf:fdiv:p@0x800000b6; rv64uf:fdiv:v@0x8000008c; rv64uf:recoding:p@0x800000b6; rv64uf:recoding:v@0x8000008c; rv64uf:fcvt_w:p@0x800000b6; rv64uf:fcvt_w:v@0x8000008c
Common across all tests in suite,rv64ui,ALL,"csrw	0x744,8",0x8000008c;0x800000b6,2,rv64ui,ALL,rv64ui:_unknown_riscv_test;rv64ui:add;rv64ui:addi;rv64ui:addiw;rv64ui:addw;rv64ui:and;rv64ui:andi;rv64ui:auipc;rv64ui:beq;rv64ui:bge;rv64ui:bgeu;rv64ui:blt;rv64ui:bltu;rv64ui:bne;rv64ui:fence_i;rv64ui:jal;rv64ui:jalr;rv64ui:lb;rv64ui:lbu;rv64ui:ld;rv64ui:lh;rv64ui:lhu;rv64ui:lui;rv64ui:lw;rv64ui:lwu;rv64ui:ma_data;rv64ui:or;rv64ui:ori;rv64ui:sb;rv64ui:sd;rv64ui:sh;rv64ui:simple;rv64ui:sll;rv64ui:slli;rv64ui:slliw;rv64ui:sllw;rv64ui:slt;rv64ui:slti;rv64ui:sltiu;rv64ui:sltu;rv64ui:sra;rv64ui:srai;rv64ui:sraiw;rv64ui:sraw;rv64ui:srl;rv64ui:srli;rv64ui:srliw;rv64ui:srlw;rv64ui:sub;rv64ui:subw;rv64ui:sw;rv64ui:xor;rv64ui:xori,rv64ui:lw:p@0x800000b6; rv64ui:lw:v@0x8000008c; rv64ui:bgeu:p@0x800000b6; rv64ui:bgeu:v@0x8000008c; rv64ui:bge:p@0x800000b6; rv64ui:bge:v@0x8000008c; rv64ui:lwu:p@0x800000b6; rv64ui:lwu:v@0x8000008c; rv64ui:or:p@0x800000b6; rv64ui:or:v@0x8000008c; rv64ui:ld:p@0x800000b6; rv64ui:ld:v@0x8000008c; rv64ui:sub:p@0x800000b6; rv64ui:sub:v@0x8000008c; rv64ui:xori:p@0x800000b6; rv64ui:xori:v@0x8000008c; rv64ui:_unknown_riscv_test:p@0x800000b6; rv64ui:_unknown_riscv_test:v@0x8000008c; rv64ui:sra:p@0x800000b6; rv64ui:sra:v@0x8000008c; rv64ui:sd:p@0x800000b6; rv64ui:sd:v@0x8000008c; rv64ui:lhu:p@0x800000b6; rv64ui:lhu:v@0x8000008c; rv64ui:jal:p@0x800000b6; rv64ui:jal:v@0x8000008c; rv64ui:auipc:p@0x800000b6; rv64ui:auipc:v@0x8000008c; rv64ui:lb:p@0x800000b6; rv64ui:lb:v@0x8000008c; rv64ui:slt:p@0x800000b6; rv64ui:slt:v@0x8000008c; rv64ui:bne:p@0x800000b6; rv64ui:bne:v@0x8000008c; rv64ui:blt:p@0x800000b6; rv64ui:blt:v@0x8000008c; rv64ui:srli:p@0x800000b6; rv64ui:srli:v@0x8000008c; rv64ui:beq:p@0x800000b6; rv64ui:beq:v@0x8000008c; rv64ui:add:p@0x800000b6; rv64ui:add:v@0x8000008c; rv64ui:addi:p@0x800000b6; rv64ui:addi:v@0x8000008c; rv64ui:sll:p@0x800000b6; rv64ui:sll:v@0x8000008c; rv64ui:jalr:p@0x800000b6; rv64ui:jalr:v@0x8000008c; rv64ui:sllw:p@0x800000b6; rv64ui:sllw:v@0x8000008c; rv64ui:sw:p@0x800000b6; rv64ui:sw:v@0x8000008c; rv64ui:sraw:p@0x800000b6; rv64ui:sraw:v@0x8000008c; rv64ui:srl:p@0x800000b6; rv64ui:srl:v@0x8000008c; rv64ui:ma_data:p@0x800000b6; rv64ui:slti:p@0x800000b6; rv64ui:slti:v@0x8000008c; rv64ui:sraiw:p@0x800000b6; rv64ui:sraiw:v@0x8000008c; rv64ui:addiw:p@0x800000b6; rv64ui:addiw:v@0x8000008c; rv64ui:andi:p@0x800000b6; rv64ui:andi:v@0x8000008c; rv64ui:lui:p@0x800000b6; rv64ui:lui:v@0x8000008c; rv64ui:addw:p@0x800000b6; rv64ui:addw:v@0x8000008c; rv64ui:sb:p@0x800000b6; rv64ui:sb:v@0x8000008c; rv64ui:sh:p@0x800000b6; rv64ui:sh:v@0x8000008c; rv64ui:fence_i:p@0x800000b6; rv64ui:fence_i:v@0x8000008c; rv64ui:slli:p@0x800000b6; rv64ui:slli:v@0x8000008c; rv64ui:srai:p@0x800000b6; rv64ui:srai:v@0x8000008c; rv64ui:lh:p@0x800000b6; rv64ui:lh:v@0x8000008c; rv64ui:sltu:p@0x800000b6; rv64ui:sltu:v@0x8000008c; rv64ui:slliw:p@0x800000b6; rv64ui:slliw:v@0x8000008c; rv64ui:ori:p@0x800000b6; rv64ui:ori:v@0x8000008c; rv64ui:simple:p@0x800000b6; rv64ui:simple:v@0x8000008c; rv64ui:xor:p@0x800000b6; rv64ui:xor:v@0x8000008c; rv64ui:lbu:p@0x800000b6; rv64ui:lbu:v@0x8000008c; rv64ui:sltiu:p@0x800000b6; rv64ui:sltiu:v@0x8000008c; rv64ui:subw:p@0x800000b6; rv64ui:subw:v@0x8000008c; rv64ui:srlw:p@0x800000b6; rv64ui:srlw:v@0x8000008c; rv64ui:bltu:p@0x800000b6; rv64ui:bltu:v@0x8000008c; rv64ui:and:p@0x800000b6; rv64ui:and:v@0x8000008c; rv64ui:srliw:p@0x800000b6; rv64ui:srliw:v@0x8000008c
Common across all tests in suite,rv64um,ALL,"csrrw	sp,sscratch,sp",0x80000138,1,rv64um,ALL,rv64um:_unknown_riscv_test;rv64um:div;rv64um:divu;rv64um:divuw;rv64um:divw;rv64um:mul;rv64um:mulh;rv64um:mulhsu;rv64um:mulhu;rv64um:mulw;rv64um:rem;rv64um:remu;rv64um:remuw;rv64um:remw,rv64um:divw:v@0x80000138; rv64um:mulhu:v@0x80000138; rv64um:mul:v@0x80000138; rv64um:_unknown_riscv_test:v@0x80000138; rv64um:divu:v@0x80000138; rv64um:mulhsu:v@0x80000138; rv64um:divuw:v@0x80000138; rv64um:mulh:v@0x80000138; rv64um:remu:v@0x80000138; rv64um:div:v@0x80000138; rv64um:mulw:v@0x80000138; rv64um:rem:v@0x80000138; rv64um:remw:v@0x80000138; rv64um:remuw:v@0x80000138
Common across all tests in suite,rv64um,ALL,"csrw	0x744,8",0x8000008c;0x800000b6,2,rv64um,ALL,rv64um:_unknown_riscv_test;rv64um:div;rv64um:divu;rv64um:divuw;rv64um:divw;rv64um:mul;rv64um:mulh;rv64um:mulhsu;rv64um:mulhu;rv64um:mulw;rv64um:rem;rv64um:remu;rv64um:remuw;rv64um:remw,rv64um:divw:p@0x800000b6; rv64um:divw:v@0x8000008c; rv64um:mulhu:p@0x800000b6; rv64um:mulhu:v@0x8000008c; rv64um:mul:p@0x800000b6; rv64um:mul:v@0x8000008c; rv64um:_unknown_riscv_test:p@0x800000b6; rv64um:_unknown_riscv_test:v@0x8000008c; rv64um:divu:p@0x800000b6; rv64um:divu:v@0x8000008c; rv64um:mulhsu:p@0x800000b6; rv64um:mulhsu:v@0x8000008c; rv64um:divuw:p@0x800000b6; rv64um:divuw:v@0x8000008c; rv64um:mulh:p@0x800000b6; rv64um:mulh:v@0x8000008c; rv64um:remu:p@0x800000b6; rv64um:remu:v@0x8000008c; rv64um:div:p@0x800000b6; rv64um:div:v@0x8000008c; rv64um:mulw:p@0x800000b6; rv64um:mulw:v@0x8000008c; rv64um:rem:p@0x800000b6; rv64um:rem:v@0x8000008c; rv64um:remw:p@0x800000b6; rv64um:remw:v@0x8000008c; rv64um:remuw:p@0x800000b6; rv64um:remuw:v@0x8000008c
